product_code,korean_name,semi_product_code,composition_total,deviation,bom_item_count,problem_ingredients
PDLB001,"페디슨 뉴트리티브 인퓨젼 립 수딩 밤",BPDLB0010,84,-16,11,"MDS-0012(0.00%)"
RSEX000,"로즈문 리치 카멜리아(동백) 트리트먼트 에센스",BRSEX0000,99.9625,-0.0375,28,"MAP-0030(100.25%); MAA-0016(0.00%)"
AOHE001,"샤샤 아르간 오일 웨이브 볼륨 에센스",BAOHE0010,100.025,0.025,19,"MXM-0003(100.50%)"
