"회사명 : (주)에바스코스메틱"
"품목구분	","BOM버전	","생산품목명	","소모품목코드	","소모품목명	","품목구분	","소요량	","생산품목코드	","입고단가	","구매처명	","구매처코드	","적요	","규격명	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디워시- 쥬이시 그레이프프룻	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBC002	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","PAOBC0030	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","[제품]	","1,000.000000","AOBC003	","","	","	","	","1500ml	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBC003	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBC003	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 알로에베라 바디워시	","PAOBC0040	","샤샤 알로에베라 바디워시	","[제품]	","1,000.000000","AOBC004	","","	","	","	","1500ml	",""
"[부재료]	","기본	","샤샤 알로에베라 바디워시	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBC004	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 알로에베라 바디워시	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBC004	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 아르간 오일 진저 쿨링 케어 바디워시	","PAOBC0050	","샤샤 아르간 오일 진저 쿨링 케어 바디워시	","[제품]	","1,000.000000","AOBC005	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 아르간 오일 진저 쿨링 케어 바디워시	","SXA-8791	","(대박스)미미로린스쿠팡납품용대박스	","[제품]	","72.000000","AOBC005	","618.000000","명진포장(주)	","1348684568	","	","30개입 (395*330*250), 28번 박스	",""
"[부재료]	","기본	","샤샤 아르간 오일 진저 쿨링 케어 바디워시	","SXC-0041	","(패드)미미로린스쿠팡납품용패드	","[제품]	","72.000000","AOBC005	","94.000000","명진포장(주)	","1348684568	","	","30개입 (380*315*0)	",""
"[반제품]	","기본	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","PAOBCM030	","샤샤 밀크앤허니 바디워시- 소프트 머스크 (500ml)	","[제품]	","1,000.000000","AOBCM03	","","	","	","	","500ml	",""
